cluster	size	words
235	34	aciérie_nom, affaissement_nom, arrachement_nom, brûlot_nom, carthage_nam, cataclysme_nom, chaos_nom, choc_nom, chute_nom, commotion_nom, cratère_nom, cyclone_nom, dislocation_nom, déchirement_nom, dégringolade_nom, effondrement_nom, enfoncement_nom, hiroshima_nam, pompéi_nam, raz, raz_nom, secousse_nom, sismique_adj, séisme_nom, tellurique_adj, typhon_nom, volcan_nom, volcanique_adj, vésuve_nam, ébranlement_nom, ébranler_ver, écrasement_nom, écroulement_nom, éruption_nom
239	35	absorber_ver, accaparer_ver, acuité_nom, affiner_ver, aimant_nom, aimanter_ver, attention_nom, attirer_ver, attraction_nom, captiver_ver, centrer_ver, concentration_nom, concentrer_ver, ensorceler_ver, enthousiasmer_ver, envoûter_ver, extasier_ver, fasciner_ver, fixité_nom, focaliser_ver, fétu_nom, hypnose_nom, hypnotique_adj, hypnotiser_ver, intensité_nom, invinciblement_adv, irrésistiblement_adv, limaille_nom, magnétique_adj, magnétisme_nom, mobilité_nom, reporter_ver, stupéfier_ver, subjuguer_ver, émerveiller_ver
321	35	aussitôt_adv, aussitôt_nam, automatiquement_adv, brusquement_adv, brusquement_nam, champ_adv, dépêcher_ver, empresser_ver, entre, entrefaite_nom, hâte_nom, hâter_ver, hâtivement_adv, immédiatement_adv, improviste_adv, inopinément_adv, instantanément_adv, instinctivement_adv, le, machinalement_nom, malencontreusement_adv, opportunément_adv, promptement_adv, précipitamment_adv, rapidement_adv, sitôt_adv, soudain_adv, soudain_nam, soudainement_adv, subitement_adv, sur, tarder_ver, temps_adv, vite_adv, voyant_nom
384	35	aveugler_ver, blêmir_ver, défaillant_adj, défaillir_ver, dégriser_ver, empourprer_ver, essouffler_ver, essoufflé_adj, frissonnant_adj, frissonner_ver, frémir_ver, frémissant_adj, haleine_nom, haletant_adj, haleter_ver, pâlir_ver, respiration_nom, rosir_ver, rougeur_nom, rougir_ver, souffle_nom, suffoquer_ver, sursauter_ver, tremblant_adj, tremblant_nom, tremblante_nom, trembler_ver, tressaillir_ver, vibrant_adj, éblouir_ver, étouffer_ver, étourdi_adj, étourdir_ver, étrangler_ver, étranglé_adj
114	35	affaire_nom, apens_nom, arnaque_nom, combine_nom, complot_nom, comploter_ver, conjuration_nom, conspiration_nom, conspirer_ver, déjouer_ver, embringuer_ver, embrouille_nom, embuscade_nom, embûche_nom, enquête_nom, entourloupe_nom, escroquerie_nom, fomenter_ver, goupiller_ver, guet, guêpier_nom, imbroglio_nom, intrigue_nom, liguer_ver, machination_nom, magouille_nom, manigancer_ver, merdier_nom, micmac_nom, ourdir_ver, piège_nom, pétrin_nom, souricière_nom, tramer_ver, traquenard_nom
245	36	ai, as, boute, di, dira, dit_nom, don, en, il, je, l, lement_nom, ma, mah, mal, na, ne, on, ou, pas, plus, pour, que, quoi_nom, sais, sel_nam, ta, tape, ti, tion_nom, touche, trompe, tu, un, vau, vous
292	36	affrontement_nom, algarade_nom, altercation_nom, bagarre_nom, bataille_nom, causerie_nom, colloque_nom, combat_nom, compétition_nom, conciliabule_nom, conflit_nom, confrontation_nom, controverse_nom, conversation_nom, dialogue_nom, discussion_nom, dispute_nom, duel_nom, débat_nom, démêlé_nom, empoignade_nom, engueulade_nom, entretien_nom, entrevue_nom, escarmouche_nom, joute_nom, lutte_nom, négociation_nom, polémique_nom, pourparler_nom, pugilat_nom, querelle_nom, rixe_nom, tractation_nom, transaction_nom, échauffourée_nom
249	36	anis_nom, antidote_nom, aphrodisiaque_adj, aromate_nom, aromatique_adj, breuvage_nom, cannelle_nom, chicorée_nom, cordial_nom, cuillerée_nom, décoction_nom, ersatz_nom, fenouil_nom, fruité_adj, girofle_nom, grog_nom, infusion_nom, ingrédient_nom, jinn_nom, menthe_nom, miel_nom, mixture_nom, muscade_adj, myrtille_nom, médicinal_adj, mûre_nom, nectar_nom, philtre_nom, pincée_nom, remède_nom, sirop_nom, sucrer_ver, tisane_nom, vanille_nom, élixir_nom, épice_nom
204	36	bourgeon_nom, bourgeonner_ver, butiner_ver, carnivore_adj, exubérant_adj, faune_nom, floraison_nom, flore_nom, foison_nom, foisonnant_adj, foisonnement_nom, foisonner_ver, germe_nom, germer_ver, grain_nom, graine_nom, luxuriant_adj, mammifère_nom, manne_nom, moisson_nom, mûrir_ver, offrande_nom, plante_nom, pollen_nom, refleurir_ver, récolte_nom, semaille_nom, semence_nom, spécimen_nom, végétal_adj, végétal_nom, végétation_nom, échantillon_nom, éclore_ver, éclosion_nom, édentés_nom
221	37	assujettir_ver, bander_ver, bandé_adj, bâillon_nom, bâillonner_ver, chanvre_nom, corde_nom, cordelette_nom, cordon_nom, coulant_adj, courroie_nom, défaire_ver, délier_ver, dénouer_ver, enchaîné_adj, entrave_nom, entraver_ver, fermement_adv, ficelle_nom, garrotter_ver, lanière_nom, ligoter_ver, lié_adj, manquant_adj, menotte_nom, menotter_ver, nouer_ver, nœud_nom, ombilical_adj, sangle_nom, solidement_adv, suivant_nom, tressage_nom, valide_adj, valider_ver, étroitement_adv, œillère_nom
